SampleIndex,TargetViscosity_cP,GlycerolVolumeFraction,WeightFraction,Glycerol_mass_g,Water_mass_g,Density_kg_per_m3,DynamicViscosity_Pa_s,DynamicViscosity_Ns_per_m2,DynamicViscosity_cP,KinematicViscosity_m2_per_s,KinematicViscosity_cSt,SurfaceTension_N_per_m,Re_270rpm,Re_290rpm,Re_310rpm,Re_330rpm,Re_350rpm,Re_370rpm,Re_390rpm,Re_410rpm,Re_430rpm,Re_450rpm,We_270rpm,We_290rpm,We_310rpm,We_330rpm,We_350rpm,We_370rpm,We_390rpm,We_410rpm,We_430rpm,We_450rpm,Fr_270rpm,Fr_290rpm,Fr_310rpm,Fr_330rpm,Fr_350rpm,Fr_370rpm,Fr_390rpm,Fr_410rpm,Fr_430rpm,Fr_450rpm,Ca_270rpm,Ca_290rpm,Ca_310rpm,Ca_330rpm,Ca_350rpm,Ca_370rpm,Ca_390rpm,Ca_410rpm,Ca_430rpm,Ca_450rpm
21,36.7096496378,0.736792930581,0.779370479275,514.551490917,145.662751988,1199.5083036,0.0367096496379,0.0367096496379,36.7096496379,3.06039145605e-05,30.6039145605,0.0654051749885,235.26402107,252.690985594,270.117950118,287.544914642,304.971879165,322.398843689,339.825808213,357.252772736,374.67973726,392.106701784,23.7681920694,27.4198210293,31.3322806292,35.5055708691,39.939691749,44.6346432689,49.5904254288,54.8070382286,60.2844816685,66.0227557484,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.101027738799,0.108511275006,0.115994811213,0.123478347421,0.130961883628,0.138445419835,0.145928956042,0.15341249225,0.160896028457,0.168379564664
22,40.2382853058,0.747088720973,0.788478912255,521.596380181,139.925915563,1201.97293946,0.0402382853057,0.0402382853057,40.2382853057,3.34768645654e-05,33.4768645654,0.0653134394961,215.073905321,231.005305715,246.93670611,262.868106504,278.799506898,294.730907292,310.662307686,326.59370808,342.525108475,358.456508869,23.8504807213,27.5147521078,31.4407571648,35.6284958923,40.0779682902,44.7891743587,49.7621140975,54.9967875069,60.4931945867,66.2513353369,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.110894349018,0.119108745241,0.127323141465,0.135537537688,0.143751933912,0.151966330135,0.160180726359,0.168395122583,0.176609518806,0.18482391503
23,44.0109185806,0.756931227917,0.797148006909,528.323596886,134.443658764,1204.3176751,0.0440109185805,0.0440109185805,44.0109185805,3.65442768884e-05,36.5442768884,0.0652257427593,197.021274275,211.61544274,226.209611204,240.803779669,255.397948134,269.992116599,284.586285064,299.180453528,313.774621993,328.368790458,23.9291365787,27.6054922671,31.5444447903,35.7459941484,40.2101403414,44.9368833693,49.9262232321,55.1781599298,60.6926934623,66.4698238297,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.121454582338,0.130451218067,0.139447853795,0.148444489524,0.157441125253,0.166437760981,0.17543439671,0.184431032439,0.193427668168,0.202424303896
24,48.0403803019,0.766357078331,0.805415223514,534.759063838,129.195438418,1206.55274945,0.0480403803019,0.0480403803019,48.0403803019,3.98162287754e-05,39.8162287754,0.0651417584321,180.830787381,194.22566052,207.62053366,221.015406799,234.410279938,247.805153078,261.200026217,274.594899356,287.989772496,301.384645635,24.0044542998,27.6923814351,31.6437319371,35.8585058059,40.3367030416,45.078323644,50.0833676132,55.3518349493,60.8837256521,66.6790397218,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.132745395004,0.142578387227,0.152411379449,0.162244371672,0.172077363894,0.181910356117,0.19174334834,0.201576340562,0.211409332785,0.221242325007
25,52.3400290848,0.775398612186,0.813313481149,540.92565714,124.163105899,1208.68715829,0.0523400290848,0.0523400290848,52.3400290848,4.33032060661e-05,43.3032060661,0.0650611983654,166.269444092,178.58569921,190.901954328,203.218209446,215.534464563,227.850719681,240.166974799,252.483229917,264.799485035,277.115740153,24.0766938897,27.7757195627,31.7389613553,35.9664192673,40.4580932989,45.2139834499,50.2340897205,55.5184121106,61.0669506201,66.8797052492,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.144805282902,0.155531600154,0.166257917406,0.176984234658,0.18771055191,0.198436869162,0.209163186414,0.219889503666,0.230615820918,0.24134213817
26,56.9237702662,0.784084532078,0.820871862931,546.843668571,119.330546023,1210.72884642,0.0569237702662,0.0569237702662,56.9237702662,4.70161179643e-05,47.0161179643,0.0649838068192,153.138972585,164.482600184,175.826227783,187.169855382,198.513482981,209.85711058,221.200738179,232.544365778,243.887993377,255.231620975,24.1460859523,27.855772683,31.8304370373,36.0700790152,40.5746986167,45.3442958419,50.3788706907,55.678423163,61.2429532591,67.0724609787,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.157674336876,0.169353917386,0.181033497895,0.192713078405,0.204392658914,0.216072239423,0.227751819933,0.239431400442,0.251110980951,0.262790561461
27,61.8060752122,0.792440433333,0.828116189182,552.531182895,114.683382057,1212.68486416,0.0618060752123,0.0618060752123,61.8060752123,5.09663120559e-05,50.9663120559,0.064909355739,141.269786052,151.734214649,162.198643245,172.663071841,183.127500438,193.591929034,204.056357631,214.520786227,224.985214824,235.44964342,24.2128359781,27.9327778568,31.9184298696,36.1697920167,40.6868642979,45.4696467133,50.5181392629,55.8323419467,61.4122547647,67.2578777169,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.171394299197,0.184090173212,0.196786047226,0.209481921241,0.222177795255,0.23487366927,0.247569543284,0.260265417299,0.272961291314,0.285657165328
28,67.0020010398,0.800489240229,0.835069487191,558.004388321,110.208732719,1214.56149563,0.0670020010398,0.0670020010398,67.0020010398,5.51655896229e-05,55.1655896229,0.0648376408696,130.516143292,140.184005758,149.851868224,159.51973069,169.187593156,178.855455622,188.523318088,198.191180554,207.85904302,217.526905486,24.2771278725,28.0069472438,32.0031822845,36.2658329947,40.7948993742,45.590381423,50.6522791413,55.9805925289,61.575321586,67.4364663124,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.18600862131,0.199787037704,0.213565454097,0.22734387049,0.241122286884,0.254900703277,0.26867911967,0.282457536064,0.296235952457,0.310014368851
29,72.5272107918,0.808251567743,0.841752379252,563.277833906,105.895010496,1216.36436492,0.0725272107918,0.0725272107918,72.5272107918,5.96262212896e-05,59.6262212896,0.0647684785314,120.752243632,129.696854271,138.64146491,147.58607555,156.530686189,165.475296829,174.419907468,183.364518107,192.309128747,201.253739386,24.3391268822,28.0784714786,32.0849121177,36.3584487993,40.8990815236,45.7068102904,50.7816350999,56.1235559519,61.7325728466,67.6086857838,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.201562522982,0.21649308024,0.231423637498,0.246354194756,0.261284752014,0.276215309272,0.29114586653,0.306076423788,0.321006981046,0.335937538304
30,78.3979941026,0.815746023638,0.848183405487,568.364644494,101.731753075,1218.09852443,0.0783979941025,0.0783979941025,78.3979941025,6.43609630337e-05,64.3609630337,0.0647017029294,111.869053237,120.155649773,128.442246309,136.728842845,145.015439381,153.302035917,161.588632453,169.875228989,178.161825526,186.448422062,24.398982039,28.1475224894,32.1638158292,36.4478620583,40.9996611766,45.8192131843,50.9065180814,56.2615758677,61.8843865434,67.7749501083,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.218103052927,0.234258834625,0.250414616323,0.266570398022,0.28272617972,0.298881961418,0.315037743116,0.331193524815,0.347349306513,0.363505088211
31,84.6312883823,0.82298946241,0.854379294217,573.276701355,97.7094815212,1219.76852891,0.0846312883822,0.0846312883822,84.6312883822,6.93830725885e-05,69.3830725885,0.0646371638899,103.771708738,111.458501978,119.145295218,126.832088458,134.518881697,142.205674937,149.892468177,157.579261417,165.266054657,172.952847897,24.4568282135,28.2142558677,32.2400712115,36.5342742448,41.0968649678,45.9278433803,51.0272094824,56.3949632742,62.0311047555,67.9356339263,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.235679151003,0.253136865892,0.270594580781,0.28805229567,0.305510010559,0.322967725448,0.340425440337,0.357883155226,0.375340870115,0.392798585005
32,91.2447005474,0.829997200051,0.860355189797,578.024794931,93.8195802596,1221.37849785,0.0912447005475,0.0912447005475,91.2447005475,7.470632626e-05,74.70632626,0.0645747249475,96.3773800754,103.516445266,110.655510457,117.794575648,124.933640838,132.072706029,139.21177122,146.350836411,153.489901602,160.628966792,24.5127878516,28.2788128713,32.3138396782,36.6178682722,41.1908986533,46.0329308215,51.1439647768,56.5240005193,62.1730380489,68.0910773656,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.254341712054,0.273181838872,0.292021965691,0.31086209251,0.329702219329,0.348542346147,0.367382472966,0.386222599785,0.405062726604,0.423902853423
33,98.2565293218,0.836783196717,0.866124845715,582.618754719,90.054194916,1222.93216846,0.0982565293218,0.0982565293218,98.2565293218,8.03450361811e-05,80.3450361811,0.0645142617172,89.6135012469,96.2515383763,102.889575506,109.527612635,116.165649764,122.803686894,129.441724023,136.079761153,142.717798282,149.355835411,24.5669724513,28.3413221283,32.3852682108,36.6988106988,41.2819495923,46.1346848913,51.2570165959,56.6489447059,62.3104692214,68.2415901424,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.274143651453,0.294450588597,0.314757525742,0.335064462886,0.355371400031,0.375678337176,0.39598527432,0.416292211465,0.43659914861,0.456906085754
34,105.685788129,0.843360212909,0.871700789136,587.067560307,86.4061449176,1224.43294068,0.105685788129,0.105685788129,105.685788129,8.63140680209e-05,86.3140680209,0.064455660503,83.4162977726,89.5952827928,95.774267813,101.953252833,108.132237853,114.311222874,120.490207894,126.669192914,132.848177934,139.027162954,24.619483824,28.4019010919,32.4544910218,36.7772536137,41.3701888675,46.2332967834,51.3665773612,56.7700306011,62.4436565029,68.3874550667,0.0825970132512,0.0952868150127,0.108883031186,0.12338566177,0.138794706766,0.155110166174,0.172332039993,0.190460328224,0.209495030866,0.22943614792,0.295139972421,0.3170021926,0.338864412779,0.360726632958,0.382588853138,0.404451073317,0.426313293496,0.448175513676,0.470037733855,0.491899954034
